ID,lat,lon
0,41.975277870170956,-6.719277431538714
1,41.95409349636536,-8.747041964882792
2,43.28743956848908,-8.634355333129813
3,41.89884932252931,-8.748586610885521
4,43.31217158090496,-8.596498291003574
5,42.831085493803236,-9.075540536698327
6,41.95475379172331,-8.749303463474535
7,41.908405433602766,-8.661377266769525
8,42.69606095085569,-8.769640260819216
9,41.98593179013604,-6.719014928296381
10,41.91574391195341,-8.763799832190784
11,41.963690688237705,-8.621405940806138
12,43.39543962373582,-7.4607392247080515
13,41.89188611119007,-8.752848383102451
14,43.08950218962236,-9.202017758770857
15,43.5451907074074,-7.491168010858617
16,43.096068019248825,-9.009054622232197
17,41.77028792802518,-8.683129018858699
18,43.21907722741476,-9.108714390765938
19,43.55893114869891,-7.489493952605766
